date,player_name,team_name,market_name,sportsbook,bet_points,Over,Under
2025-03-22,Amael L'Etang,Dayton,Player Assists,Fliff,1.5,145.0,-230.0
2025-03-22,Amael L'Etang,Dayton,Player Points,Fliff,8.5,-150.0,-105.0
2025-03-22,Amael L'Etang,Dayton,Player Rebounds,Fliff,3.5,-125.0,-120.0
2025-03-22,Bash Wieland,Chattanooga,Player Points,Fliff,15.5,-115.0,-135.0
2025-03-22,Enoch Cheeks,Dayton,Player Assists,Fliff,1.5,-160.0,100.0
2025-03-22,Enoch Cheeks,Dayton,Player Points,Fliff,13.5,-125.0,-125.0
2025-03-22,Enoch Cheeks,Dayton,Player Rebounds,Fliff,5.5,-160.0,105.0
2025-03-22,Javon Bennett,Dayton,Player Assists,Fliff,1.5,-185.0,115.0
2025-03-22,Javon Bennett,Dayton,Player Points,Fliff,14.5,-115.0,-135.0
2025-03-22,Javon Bennett,Dayton,Player Rebounds,Fliff,2.5,-160.0,100.0
2025-03-22,Malachi Smith,Dayton,Player Assists,Fliff,4.5,-150.0,-105.0
2025-03-22,Malachi Smith,Dayton,Player Points,Fliff,10.5,-140.0,-110.0
2025-03-22,Malachi Smith,Dayton,Player Rebounds,Fliff,3.5,-135.0,-115.0
2025-03-22,Nate Santos,Dayton,Player Assists,Fliff,1.5,140.0,-220.0
2025-03-22,Nate Santos,Dayton,Player Points,Fliff,13.5,-115.0,-135.0
2025-03-22,Nate Santos,Dayton,Player Rebounds,Fliff,6.5,110.0,-170.0
2025-03-22,Trey Bonham,Chattanooga,Player Points,Fliff,14.5,-115.0,-135.0
2025-03-22,Aday Mara,UCLA,Player Points,BetOnline,7.5,-117.0,-109.0
2025-03-22,Aday Mara,UCLA,Player Points,Fliff,7.5,-130.0,-120.0
2025-03-22,Chaz Lanier,Tennessee,Player Points,BetOnline,16.5,-109.0,-117.0
2025-03-22,Chaz Lanier,Tennessee,Player Points,Fliff,16.5,-125.0,-125.0
2025-03-22,Chaz Lanier,Tennessee,Player Rebounds,BetOnline,4.5,125.0,-163.0
2025-03-22,Chaz Lanier,Tennessee,Player Rebounds,Fliff,4.5,120.0,-185.0
2025-03-22,Dylan Andrews,UCLA,Player Assists,BetOnline,3.5,112.0,-144.0
2025-03-22,Dylan Andrews,UCLA,Player Assists,Fliff,3.5,105.0,-165.0
2025-03-22,Dylan Andrews,UCLA,Player Points,BetOnline,6.5,-112.0,-114.0
2025-03-22,Dylan Andrews,UCLA,Player Points,Fliff,6.5,-130.0,-120.0
2025-03-22,Dylan Andrews,UCLA,Player Rebounds,BetOnline,1.5,-140.0,108.0
2025-03-22,Dylan Andrews,UCLA,Player Rebounds,Fliff,1.5,-155.0,100.0
2025-03-22,Eric Dailey Jr.,UCLA,Player Assists,Fliff,0.5,-200.0,125.0
2025-03-22,Eric Dailey Jr.,UCLA,Player Points,BetOnline,9.5,-113.0,-113.0
2025-03-22,Eric Dailey Jr.,UCLA,Player Points,FanDuel,9.5,-104.0,-118.0
2025-03-22,Eric Dailey Jr.,UCLA,Player Points,Fliff,9.5,-130.0,-120.0
2025-03-22,Eric Dailey Jr.,UCLA,Player Rebounds,BetOnline,3.5,106.0,-138.0
2025-03-22,Eric Dailey Jr.,UCLA,Player Rebounds,Fliff,3.5,100.0,-155.0
2025-03-22,Felix Okpara,Tennessee,Player Points,BetOnline,7.5,-111.0,-116.0
2025-03-22,Felix Okpara,Tennessee,Player Points,Fliff,7.5,-120.0,-130.0
2025-03-22,Felix Okpara,Tennessee,Player Rebounds,BetOnline,5.5,-142.0,110.0
2025-03-22,Felix Okpara,Tennessee,Player Rebounds,Fliff,5.5,-160.0,100.0
2025-03-22,Igor Milicic Jr.,Tennessee,Player Assists,BetOnline,1.5,-113.0,-113.0
2025-03-22,Igor Milicic Jr.,Tennessee,Player Assists,Fliff,1.5,-125.0,-125.0
2025-03-22,Igor Milicic Jr.,Tennessee,Player Points,BetOnline,8.5,-109.0,-117.0
2025-03-22,Igor Milicic Jr.,Tennessee,Player Points,FanDuel,8.5,-108.0,-120.0
2025-03-22,Igor Milicic Jr.,Tennessee,Player Points,Fliff,8.5,-115.0,-135.0
2025-03-22,Igor Milicic Jr.,Tennessee,Player Rebounds,BetOnline,5.5,-103.0,-125.0
2025-03-22,Igor Milicic Jr.,Tennessee,Player Rebounds,FanDuel,5.5,-106.0,-125.0
2025-03-22,Igor Milicic Jr.,Tennessee,Player Rebounds,Fliff,5.5,-105.0,-150.0
2025-03-22,Jahmai Mashack,Tennessee,Player Assists,BetOnline,1.5,-113.0,-113.0
2025-03-22,Jahmai Mashack,Tennessee,Player Assists,Fliff,1.5,-125.0,-125.0
2025-03-22,Jahmai Mashack,Tennessee,Player Points,BetOnline,7.5,102.0,-133.0
2025-03-22,Jahmai Mashack,Tennessee,Player Points,Fliff,6.5,-160.0,100.0
2025-03-22,Jahmai Mashack,Tennessee,Player Rebounds,BetOnline,5.5,118.0,-153.0
2025-03-22,Jahmai Mashack,Tennessee,Player Rebounds,Fliff,5.5,110.0,-175.0
2025-03-22,Jordan Gainey,Tennessee,Player Assists,BetOnline,1.5,-114.0,-112.0
2025-03-22,Jordan Gainey,Tennessee,Player Assists,Fliff,1.5,-130.0,-120.0
2025-03-22,Jordan Gainey,Tennessee,Player Points,BetOnline,10.5,-109.0,-117.0
2025-03-22,Jordan Gainey,Tennessee,Player Points,FanDuel,10.5,-104.0,-125.0
2025-03-22,Jordan Gainey,Tennessee,Player Points,Fliff,10.5,-125.0,-125.0
2025-03-22,Jordan Gainey,Tennessee,Player Rebounds,BetOnline,3.5,134.0,-175.0
2025-03-22,Jordan Gainey,Tennessee,Player Rebounds,Fliff,3.5,125.0,-195.0
2025-03-22,Kobe Johnson,UCLA,Player Assists,BetOnline,2.5,122.0,-158.0
2025-03-22,Kobe Johnson,UCLA,Player Assists,Fliff,2.5,115.0,-175.0
2025-03-22,Kobe Johnson,UCLA,Player Points,BetOnline,6.5,-121.0,-106.0
2025-03-22,Kobe Johnson,UCLA,Player Points,FanDuel,6.5,-114.0,-114.0
2025-03-22,Kobe Johnson,UCLA,Player Points,Fliff,6.5,-140.0,-110.0
2025-03-22,Kobe Johnson,UCLA,Player Rebounds,BetOnline,5.5,-126.0,-102.0
2025-03-22,Kobe Johnson,UCLA,Player Rebounds,FanDuel,5.5,-125.0,-106.0
2025-03-22,Kobe Johnson,UCLA,Player Rebounds,Fliff,5.5,-145.0,-105.0
2025-03-22,Sebastian Mack,UCLA,Player Points,BetOnline,7.5,-111.0,-116.0
2025-03-22,Sebastian Mack,UCLA,Player Points,Fliff,7.5,-120.0,-125.0
2025-03-22,Skyy Clark,UCLA,Player Assists,BetOnline,1.5,-200.0,152.0
2025-03-22,Skyy Clark,UCLA,Player Assists,Fliff,1.5,-205.0,130.0
2025-03-22,Skyy Clark,UCLA,Player Points,BetOnline,8.5,-102.0,-126.0
2025-03-22,Skyy Clark,UCLA,Player Points,FanDuel,7.5,-122.0,-106.0
2025-03-22,Skyy Clark,UCLA,Player Points,Fliff,8.5,-110.0,-140.0
2025-03-22,Skyy Clark,UCLA,Player Rebounds,BetOnline,2.5,-107.0,-120.0
